name,followers_count,lang,text
Liverpool FC News,674890,,"The move is in a bid to avoid the emergence of more severe waves of the coronavirus

https://t.co/7B26aegGvf"
St. Louis Post-Dispatch,256056,,"RT @hochman: Wanted to tweet my ⁦@stltoday⁩ column once more, ICYMI... my take on dodging neighbors on walks during these coronavirus times…"
France tv sport,233706,,"#coronavirus Avec l'interdiction de tout événement décidée par le gouvernement des Pays-Bas jusqu'en septembre, le… https://t.co/Sul3BE3zQQ"
Katherine L. Logan,221301,,"RT @in_pubs: As a Veteran, blocking the entrance to a hospital while spreading a deadly virus is WAY MORE OFFENSIVE to me than taking a kne…"
NadelParis,208742,,"RT @weijia: Trump says “I don’t care” about briefing ratings. 

He has tweeted about them 7 times in the past 23 days. 

#coronavirus numbe…"
AS English @ 🏡,172169,,Coronavirus UK: ONS data shows death toll 41% higher than daily figures suggest https://t.co/xqk88mrBde https://t.co/PYp3C4i60G
Tom Holland,163533,,"I so want coronavirus to go, so I can play cricket, and come out with some zinging Justin Langerisms: ""There's bant… https://t.co/JoK1aVuoFM"
Tom Holland,163533,,"I so want coronavirus to go, so I can play cricket, and come out with some zinging Justin Langerisms: ""There's bant… https://t.co/JoK1aVuoFM"
Tom Holland,163533,,"I so want coronavirus to go, so I can play cricket, and come out with some zinging Justin Langerisms: ""There's bant… https://t.co/JoK1aVuoFM"
North Wales Live,102752,,"Rhyl FC begin winding up process after coronavirus hits club finances
#Rhyl #football
https://t.co/s3dKqM1pMn"
