name,retweet_text,retweet_count
Gabriel,I AM NOT A FOOTBALL CLUB,135039
JustValAndSprite~αяму fяσм🇵🇪,Pardon my language but HOLY SH*T!!! ⁦@jimmyfallon⁩ as if I couldn’t love you any more!! ⁦@bts_bighit⁩ ⁦@BTS_twt⁩ ar… https://t.co/CiE2V20ZWy,100109
girlpatriot,"Kobe Bryant, despite being one of the truly great basketball players of all time, was just getting started in life.… https://t.co/W9bvuDRMEY",91712
mdub,Considering retirement after I was informed the football will be slipping out of my tiny hands. Please keep me in your thoughts.,38812
Genghis Khan,"Never forget the day French niggas did a Muslim vs Christian football match 😂😂
https://t.co/sJWDOJkPya",27246
Marc Gagne,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25853
🇺🇸⌚🖋🗳📈TRUMP2020✊🏻,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25850
Chade,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25848
deplorable bot,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25848
BRENT,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25848
SillyLunchLady,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25848
Rick is a Patriot,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25847
Regina-roo,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25844
F8TH ❌,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25843
txshado,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25843
"We coming for you, bee hating n","I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25842
USA45RED1#Latinos4Trump,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25842
Maretta Trani,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25841
Michael,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25840
Travis Poirier☘️,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference… https://t.co/1WDab5OAHp",25837
